Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Australia,India,no result,-,Kuala Lumpur,"Sep 16, 2006",ODI # 2416
Australia,India,Australia,18 runs,Kuala Lumpur,"Sep 22, 2006",ODI # 2421
India,Australia,Australia,6 wickets,Mohali,"Oct 29, 2006",ODI # 2440
India,Australia,no result,-,Bengaluru,"Sep 29, 2007",ODI # 2621
India,Australia,Australia,84 runs,Kochi,"Oct 2, 2007",ODI # 2623
India,Australia,Australia,47 runs,Hyderabad,"Oct 5, 2007",ODI # 2625
India,Australia,India,8 runs,Chandigarh,"Oct 8, 2007",ODI # 2627
India,Australia,Australia,9 wickets,Vadodara,"Oct 11, 2007",ODI # 2629
India,Australia,Australia,18 runs,Nagpur,"Oct 14, 2007",ODI # 2631
India,Australia,India,2 wickets,Wankhede,"Oct 17, 2007",ODI # 2632
Australia,India,no result,-,Brisbane,"Feb 3, 2008",ODI # 2670
Australia,India,India,5 wickets,Melbourne,"Feb 10, 2008",ODI # 2675
Australia,India,Australia,50 runs,Adelaide,"Feb 17, 2008",ODI # 2680
Australia,India,Australia,18 runs,Sydney,"Feb 24, 2008",ODI # 2685
Australia,India,India,6 wickets,Sydney,"Mar 2, 2008",ODI # 2688
Australia,India,India,9 runs,Brisbane,"Mar 4, 2008",ODI # 2689
Australia,India,no result,-,Centurion,"Sep 28, 2009",ODI # 2901
India,Australia,Australia,4 runs,Vadodara,"Oct 25, 2009",ODI # 2913
India,Australia,India,99 runs,Nagpur,"Oct 28, 2009",ODI # 2915
India,Australia,India,6 wickets,Delhi,"Oct 31, 2009",ODI # 2918
India,Australia,Australia,24 runs,Mohali,"Nov 2, 2009",ODI # 2919
India,Australia,Australia,3 runs,Hyderabad,"Nov 5, 2009",ODI # 2923
India,Australia,Australia,6 wickets,Guwahati,"Nov 8, 2009",ODI # 2925
India,Australia,India,5 wickets,Visakhapatnam,"Oct 20, 2010",ODI # 3060
India,Australia,India,5 wickets,Ahmedabad,"Mar 24, 2011",ODI # 3143
Australia,India,Australia,65 runs,Melbourne,"Feb 5, 2012",ODI # 3231
Australia,India,India,4 wickets,Adelaide,"Feb 12, 2012",ODI # 3237
Australia,India,Australia,110 runs,Brisbane,"Feb 19, 2012",ODI # 3244
Australia,India,Australia,87 runs,Sydney,"Feb 26, 2012",ODI # 3250
India,Australia,Australia,72 runs,Pune,"Oct 13, 2013",ODI # 3419
India,Australia,India,9 wickets,Jaipur,"Oct 16, 2013",ODI # 3420
India,Australia,Australia,4 wickets,Mohali,"Oct 19, 2013",ODI # 3421
India,Australia,no result,-,Ranchi,"Oct 23, 2013",ODI # 3422
India,Australia,India,6 wickets,Nagpur,"Oct 30, 2013",ODI # 3424
India,Australia,India,57 runs,Bengaluru,"Nov 2, 2013",ODI # 3428
Australia,India,Australia,4 wickets,Melbourne,"Jan 18, 2015",ODI # 3582
Australia,India,no result,-,Sydney,"Jan 26, 2015",ODI # 3592
Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",ODI # 3645
Australia,India,Australia,5 wickets,Perth,"Jan 12, 2016",ODI # 3723
Australia,India,Australia,7 wickets,Brisbane,"Jan 15, 2016",ODI # 3724
Australia,India,Australia,3 wickets,Melbourne,"Jan 17, 2016",ODI # 3725
Australia,India,Australia,25 runs,Canberra,"Jan 20, 2016",ODI # 3726
Australia,India,India,6 wickets,Sydney,"Jan 23, 2016",ODI # 3727
India,Australia,India,26 runs,Chennai,"Sep 17, 2017",ODI # 3910
India,Australia,India,50 runs,Eden Gardens,"Sep 21, 2017",ODI # 3912
India,Australia,India,5 wickets,Indore,"Sep 24, 2017",ODI # 3914
India,Australia,Australia,21 runs,Bengaluru,"Sep 28, 2017",ODI # 3917
India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017",ODI # 3919
Australia,India,Australia,34 runs,Sydney,"Jan 12, 2019",ODI # 4077
Australia,India,India,6 wickets,Adelaide,"Jan 15, 2019",ODI # 4078
Australia,India,India,7 wickets,Melbourne,"Jan 18, 2019",ODI # 4079
India,Australia,India,6 wickets,Hyderabad,"Mar 2, 2019",ODI # 4102
India,Australia,India,8 runs,Nagpur,"Mar 5, 2019",ODI # 4106
India,Australia,Australia,32 runs,Ranchi,"Mar 8, 2019",ODI # 4109
India,Australia,Australia,4 wickets,Mohali,"Mar 10, 2019",ODI # 4111
India,Australia,Australia,35 runs,Delhi,"Mar 13, 2019",ODI # 4113
Australia,India,India,36 runs,The Oval,"Jun 9, 2019",ODI # 4155
India,Australia,Australia,10 wickets,Wankhede,"Jan 14, 2020",ODI # 4231
India,Australia,India,36 runs,Rajkot,"Jan 17, 2020",ODI # 4232
India,Australia,India,7 wickets,Bengaluru,"Jan 19, 2020",ODI # 4233
Australia,India,Australia,66 runs,Sydney,"Nov 27, 2020",ODI # 4265
Australia,India,Australia,51 runs,Sydney,"Nov 29, 2020",ODI # 4266
Australia,India,India,13 runs,Canberra,"Dec 2, 2020",ODI # 4267
India,Australia,India,5 wickets,Wankhede,"Mar 17, 2023",ODI # 4538
India,Australia,Australia,10 wickets,Visakhapatnam,"Mar 19, 2023",ODI # 4541
India,Australia,Australia,21 runs,Chennai,"Mar 22, 2023",ODI # 4545
India,Australia,India,5 wickets,Mohali,"Sep 22, 2023",ODI # 4651
India,Australia,India,99 runs,Indore,"Sep 24, 2023",ODI # 4654
India,Australia,Australia,66 runs,Rajkot,"Sep 27, 2023",ODI # 4657
India,Australia,India,6 wickets,Chennai,"Oct 8, 2023",ODI # 4662
